"552958155022692352","charlie hebdo","Oticastro","RT @mashable: Suspects in deadly Paris attack were on police radar for years http://t.co/YNh4E3rdNw #CharlieHebdo http://t.co/iVkJvOsMyD","377","Wed Jan 07 22:41:12 +0000 2015"
"552958154942607360","charlie hebdo","kellyjeanart","RT @NYMag: #JeSuisCharlie: Cartoonists pay tribute to #CharlieHebdo victims: http://t.co/qunRUYXZzy (cartoon by @RobTornoe) http://t.co/LKt79dpn8s","938","Wed Jan 07 22:41:12 +0000 2015"
"552958154649387008","charlie hebdo","amelia_lms","RT @FraserNelson: ""Not in my name"" - Muslims take to Twitter to denounce the barbaric #CharlieHebdo murders
http://t.co/S8ZMJv9Usa http://t.co/QOzOvZnP5q","1023","Wed Jan 07 22:41:12 +0000 2015"
"552958154171252740","charlie hebdo","nucoposixyw","RT @MEMMOSdubai: Charlie Hebdo shooting triggers media censorship debate http://t.co/SE9iQeoSg9 @MEMMOSDubai #Dubai #UAE","331","Wed Jan 07 22:41:12 +0000 2015"
"552958153625993216","charlie hebdo","duckbombay","RT @Mediaite: NBC News and MSNBC Join CNN in Not Showing Charlie Hebdo Cartoons http://t.co/CGwNQALrV9 http://t.co/Cy0EJ4ejrz","16","Wed Jan 07 22:41:11 +0000 2015"
"552958153584041984","charlie hebdo","DevonB324","RT @FoxNewsInsider: See the Powerful Cartoons Drawn in Response to the Paris Terror Attack http://t.co/RthmfNKt4k #CharlieHebdo","12","Wed Jan 07 22:41:11 +0000 2015"
"552958152577400832","charlie hebdo","sven10077","RT @mamaswati: MSNBC: Falwell Suing Hustler same as Charlie Hebdo Massacare - http://t.co/lmoS3iDOYD via @digitasdaily","6","Wed Jan 07 22:41:11 +0000 2015"
"552958152501911552","charlie hebdo","ICLee3","RT @BenQuinn75: ""Why are the fuckers still laughing at us?""
Steve Bell on the Charlie Hebdo attack
http://t.co/YCYRJ08979 http://t.co/c8nRThvo3H","860","Wed Jan 07 22:41:11 +0000 2015"
"552958151738552324","charlie hebdo","NellVMars","RT @BenQuinn75: ""Why are the fuckers still laughing at us?""
Steve Bell on the Charlie Hebdo attack
http://t.co/YCYRJ08979 http://t.co/c8nRThvo3H","860","Wed Jan 07 22:41:11 +0000 2015"
"552958151495274496","charlie hebdo","TinaHarrisment","RT @TIME: Police have identified 3 suspects in Paris shooting http://t.co/eu3H7U46iu","114","Wed Jan 07 22:41:11 +0000 2015"
"552958151335890945","charlie hebdo","FarrisGerald","The Charlie Hebdo Covers the Terrorists Didn’t Want You to See http://t.co/qiciQFsF4f","0","Wed Jan 07 22:41:11 +0000 2015"
"552958150832582658","charlie hebdo","CarmineOrazzo","#CharlieHebdo in corso raid a Reims http://t.co/GY8ZVxqdKu","0","Wed Jan 07 22:41:11 +0000 2015"
"552958150677385216","charlie hebdo","LinaMorena2","RT @ChristopherJM: One of Paris suspects, 35-yo Cheriff Kouachi, was convicted on terrorism charges in 2008. http://t.co/gRQ12Pe7ey http://t.co/nbfTWfDyrJ","43","Wed Jan 07 22:41:11 +0000 2015"
"552958150358609920","charlie hebdo","usedupcop","Flashback: WH Condemned Judgement of 'Deeply Offensive' Charlie Hebdo - Breitbart http://t.co/IGqKKAoljx via @BreitbartNews-I","0","Wed Jan 07 22:41:11 +0000 2015"
"552958149461041155","charlie hebdo","AnalystFi","RT @HuffPostBlog: Cartoonist Jeff Danziger's take on today's Charlie Hebdo attack http://t.co/z4E10eztXq http://t.co/thylUbdStA","1","Wed Jan 07 22:41:10 +0000 2015"
"552958149058396162","charlie hebdo","SeanSaid_","RT @guardian: Steve Bell on the Charlie Hebdo attack in Paris – cartoon http://t.co/OOeHzfmkm4 http://t.co/oqIX7N88OF","615","Wed Jan 07 22:41:10 +0000 2015"
"552958148894392320","charlie hebdo","kineticamerica","New York Daily News pixelates Muhammad cartoon in story about Charlie Hebdo jihad massacre http://t.co/L6Ggr8yUPQ","0","Wed Jan 07 22:41:10 +0000 2015"
"552958148580237312","charlie hebdo","GasheadAu","@prodnose I remember being blamed for it. Fuck it was a terrifying time. http://t.co/cIVrurLURh","0","Wed Jan 07 22:41:10 +0000 2015"
